"";"test";"sample_size";"correlation";"type";"issue";"n";"rel_freq"
"110";"FL";1000;1;"mild";1;4988;0,259791666666667
"111";"HTMT_2";200;0;"harsh";1;4996;0,260208333333333
"113";"HTMT_2";1000;0;"harsh";1;5001;0,26046875
"118";"HTMT_2";200;0;"mild";1;5023;0,261614583333333
"119";"CON_PHI";100;1;"mild";1;5038;0,262395833333333
"120";"FL";100;1;"mild";1;5038;0,262395833333333
"123";"HTMT_2";100;0;"mild";1;5046;0,2628125
"124";"CON_PHI";1000;1;"harsh";1;5084;0,264791666666667
"125";"FL";1000;1;"harsh";1;5084;0,264791666666667
"126";"CON_PHI";200;1;"harsh";1;5089;0,265052083333333
"127";"FL";200;1;"harsh";1;5089;0,265052083333333
"128";"CON_PHI";200;1;"mild";1;5099;0,265572916666667
"129";"FL";200;1;"mild";1;5099;0,265572916666667
"130";"CON_PHI";100;1;"harsh";1;5105;0,265885416666667
"131";"FL";100;1;"harsh";1;5105;0,265885416666667
"132";"CON_PHI";50;1;"harsh";1;5147;0,268072916666667
"133";"FL";50;1;"harsh";1;5147;0,268072916666667
"135";"CON_PHI";50;1;"mild";1;5216;0,271666666666667
"136";"FL";50;1;"mild";1;5216;0,271666666666667
"139";"HTMT_2";50;0,3;"harsh";1;6843;0,35640625
"148";"HTMT_2";100;0,3;"harsh";1;7819;0,407239583333333
"166";"HTMT_2";200;0,3;"harsh";1;9040;0,470833333333333
"176";"HTMT_2";50;0,7;"harsh";1;9475;0,493489583333333
"199";"HTMT_2";100;0,7;"harsh";1;9946;0,518020833333333
"200";"HTMT_2";50;1;"harsh";1;9957;0,51859375
"217";"HTMT_2";200;0,7;"harsh";1;9998;0,520729166666667
"222";"HTMT_2";1000;0,3;"harsh";1;9999;0,52078125
"235";"HTMT_2";100;1;"harsh";1;10000;0,520833333333333
"236";"HTMT_2";200;1;"harsh";1;10000;0,520833333333333
"238";"HTMT_2";1000;0,7;"harsh";1;10000;0,520833333333333
"240";"HTMT_2";1000;1;"harsh";1;10000;0,520833333333333
